# Command: bloaty -c suit.bloaty -d sections,suit,symbols -n 0 -s vm ../../2020-clemens-vera/Results/bin/mqttsn-wpan/suit_update.elf -- ../../2020-clemens-vera/Results/bin/coap-wpan/suit_update.elf

    FILE SIZE        VM SIZE    
 --------------  -------------- 
  [ = ]       0  +6.5% +1.21Ki    .bss
    [ = ]       0  [NEW] +1.22Ki    mqttsn
    [NEW]      +4  [NEW]      +4    mqttsn
      [NEW]      +2  [NEW]      +2    id_next
      [NEW]      +2  [NEW]      +2    waiton
  -2.2%      -2  [ = ]       0    .ARM.attributes
  -1.3% -1.56Ki  [ = ]       0    .debug_abbrev
    +110%    +595  [ = ]       0    [section .debug_abbrev]
    -1.8% -2.15Ki  [ = ]       0    ota
      -1.8% -2.15Ki  [ = ]       0    [section .debug_abbrev]
  -3.4%    -360  [ = ]       0    .debug_aranges
  -4.0% -1.20Ki  [ = ]       0    .debug_frame
  -1.8% -16.4Ki  [ = ]       0    .debug_info
    -4.1% -1.69Ki  [ = ]       0    cborcose
      -4.1% -1.69Ki  [ = ]       0    [section .debug_info]
    [DEL] -27.0Ki  [ = ]       0    coap
      [DEL] -27.0Ki  [ = ]       0    [section .debug_info]
    +2.6% +8.24Ki  [ = ]       0    core
      +2.6% +8.24Ki  [ = ]       0    [section .debug_info]
    -0.1%     -63  [ = ]       0    crypto
      -0.1%     -63  [ = ]       0    [section .debug_info]
    [NEW] +14.3Ki  [ = ]       0    mqttsn
      [NEW] +14.3Ki  [ = ]       0    [section .debug_info]
    -3.1% -12.2Ki  [ = ]       0    network
      -3.1% -12.2Ki  [ = ]       0    [section .debug_info]
   -13.4% -5.75Ki  [ = ]       0    ota
     -13.5% -5.75Ki  [ = ]       0    [section .debug_info]
     +16% +7.81Ki  [ = ]       0    suit
       +16% +7.81Ki  [ = ]       0    [section .debug_info]
  -0.9% -3.64Ki  [ = ]       0    .debug_line
    -4.7%    -739  [ = ]       0    cborcose
      -4.7%    -739  [ = ]       0    [section .debug_line]
    [DEL] -12.6Ki  [ = ]       0    coap
      [DEL] -12.6Ki  [ = ]       0    [section .debug_line]
    +2.8% +4.03Ki  [ = ]       0    core
      +2.8% +4.03Ki  [ = ]       0    [section .debug_line]
    [NEW] +7.31Ki  [ = ]       0    mqttsn
      [NEW] +7.31Ki  [ = ]       0    [section .debug_line]
    -3.8% -6.61Ki  [ = ]       0    network
      -3.8% -6.61Ki  [ = ]       0    [section .debug_line]
