1550243082.6956134	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.6981146	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.7007143	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.7030857	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.705019	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.7069764	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.709057	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.71789	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.72024	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.722748	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.725373	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.7275777	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.7295187	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.7314537	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.7393262	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.7417226	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.744396	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.7470384	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.7488353	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.7508867	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.7528596	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.7606905	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.7625096	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.7651296	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.7675757	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.7700381	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.772519	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.775132	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.7770233	8394	63	58	14	-4	264	0	16876	14	-6
