1550143963.161511	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.163477	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.165422	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.1676183	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.1700206	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.172561	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.175484	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.1775482	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.1848514	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.1867473	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.1893275	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.1918764	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.1943815	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.1965406	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.1983898	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.2060854	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.2083912	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.2110064	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.2136254	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.215918	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.2178617	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.2199485	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.2285209	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.2303636	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.2327383	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.2351778	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.2377307	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.240064	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.2420382	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.244101	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.2524965	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.255235	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.2578828	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.2604136	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.2630138	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.2654915	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.2677727	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.2732477	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.2753081	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.2774017	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.2796192	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.2821515	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.2844987	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.287054	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.2946815	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.296609	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.2986398	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.3011355	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.3038516	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.3062265	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.3083313	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.3160307	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.3179395	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.3202493	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.322804	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.3252902	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.3277519	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.3303196	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.3325202	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.3404696	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.342262	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.3446043	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.347158	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.3496895	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.3519938	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.353964	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.3617213	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.3639755	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.366401	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.369074	8428	66	61	14	-4	264	0	17139	14	-6
1550143963.3713892	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.3734584	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.3757067	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.3831599	8428	66	61	14	-4	264	0	17139	14	-6
1550143963.385228	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.3874173	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.3898854	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.3924358	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.394821	8428	66	61	14	-4	264	0	17139	14	-6
1550143963.39737	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.3998337	8428	66	61	14	-4	264	0	17139	14	-6
1550143963.406479	8428	66	61	14	-4	264	0	17139	14	-6
1550143963.4082541	8428	66	58	14	-4	264	0	17139	14	-6
1550143963.4101338	8428	66	61	14	-4	264	0	17139	14	-6
1550143963.412624	8428	66	61	14	-4	264	0	17139	14	-6
1550143963.4153085	8428	66	61	14	-4	264	0	17139	14	-6
1550143963.4178765	8428	66	61	14	-4	264	0	17139	14	-6
1550143963.4201252	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.4287944	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.4306695	8428	66	61	14	-4	264	0	17139	14	-6
1550143963.4330175	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.4355388	8428	66	61	14	-4	264	0	17139	14	-6
1550143963.4380107	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.440364	8428	66	61	14	-4	264	0	17139	14	-6
1550143963.442426	8428	66	61	14	-4	264	0	17139	14	-6
1550143963.4502902	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.4525259	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.4551945	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.457658	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.4600208	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.4622118	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.46425	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.4661686	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.473641	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.475922	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.4784229	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.4808125	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.4832711	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.4857166	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.487963	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.4949539	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.49692	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.4990942	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.5015452	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.504189	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.5067105	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.5088573	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.516334	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.5181556	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.520585	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.5231252	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.5255356	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.528115	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.5306435	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.5326312	8428	66	61	14	-4	264	0	17139	14	-6
1550143963.540568	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.5428393	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.5453684	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.5479548	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.550533	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.55309	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.5555372	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.562067	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.5641568	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.5663142	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.5685353	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.5705602	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.572657	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.5745757	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.5835779	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.5858238	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.5880444	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.590223	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.5924902	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.594735	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.5969346	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.5989752	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.607011	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.60909	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.6112247	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.6133373	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.615582	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.6177468	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.6199899	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.6292708	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.6315637	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.6336372	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.6356506	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.637634	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.6398997	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.6419892	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.6505883	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.652906	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.655001	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.657247	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.6593328	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.661369	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.663536	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.6655624	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.6739883	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.6761847	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.6783245	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.6804788	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.6826956	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.68469	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.686715	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.695369	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.6972334	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.6994007	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.7013748	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.7034252	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.705385	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.7073696	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.71675	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.718711	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.7209575	8442	66	61	14	-4	264	0	17139	14	-6
